type,set,mean_mean,var_mean,guess_rate_mean,lapse_rate_mean,mean_std,var_std,guess_rate_std,lapse_rate_std,n
1,test,13.59092622427958,1.6967642308014117,0.039257178068830674,0.03642593484704474,0.18668550001383594,0.29030195427312877,0.015119963289741417,0.022888379496007052,3
1,train,13.454585797763661,0.4986970713340915,0.049757527529017055,0.0404975539608659,0.11357606193494184,0.08180845181258467,0.00034290780620399336,0.013438488061521106,2
2,test,13.39619771095793,1.4460148300491789,0.02890339030641058,0.043879686839132626,0.27532750706753567,0.08007980049587461,0.01575630311929177,0.005994932627008588,3
2,train,13.457358117611385,0.5205849164992925,0.04668882478981357,0.04442008760243421,0.1402343184067568,0.09381892410286923,0.00573512353816771,0.009664691774055035,3
3,test,13.58027767933187,0.9709401342658555,0.014630209131456772,0.039652897204771755,0.17976036230474848,0.027593593376944912,0.0040105311652631,0.01281482042524584,3
3,train,13.505026728001582,0.578329507821055,0.018314803997905818,0.029984323798169715,0.11464959203318846,0.12186598647264246,0.006899857253418446,0.008921033012624346,3
4,test,13.572140800213894,0.912165705737087,0.017357108125949715,0.03610774577534862,0.1312911362860708,0.01797183983944413,0.012118322766535546,0.012517002568050564,3
4,train,13.525916039677663,0.5497831864824385,0.01659577752090086,0.03332083371020088,0.09598952609883331,0.09768617927756003,0.007545272255887378,0.012028587870138942,3
5,test,13.532419831266688,1.0196777374612507,0.04984100976810866,0.016187667208817896,0.16669365890590102,0.05170986815428588,0.00027537912709695614,0.00756867565298818,3
5,train,13.487222959642564,0.5058740782719902,0.04450986180975188,0.03828148148338408,0.10081622672475332,0.10720867925713538,0.005658690587333628,0.012618705714097513,3
