type,set,mean_mean,var_mean,guess_rate_mean,lapse_rate_mean,mean_std,var_std,guess_rate_std,lapse_rate_std,n
1,test,13.462339646770024,0.5036351343577657,0.022277725680344793,0.013897619423995887,0.06246561403498231,0.028004385043998964,0.007811163903074762,0.003494688520044468,3
1,train,13.451701292616745,0.35883039602467015,0.01364229598543342,0.011656243049907802,0.04634081006979074,0.03641081407080303,0.0043687642261849595,0.002868697111198657,3
2,test,13.44635918976572,0.4685629119994598,0.021190514666710084,0.017515819372073527,0.050652352084170335,0.012248478765385479,0.009647846382959794,0.007782028027993342,3
2,train,13.44013073923476,0.3542717729793498,0.013003983542922521,0.010446620295174099,0.04320016388672297,0.05125071985903322,0.0026065591548941167,0.0007735690429329107,3
3,test,13.41400214899445,0.4508880015826402,0.010020649113221309,0.011713153803347387,0.04127921049142998,0.006873709427790287,3.5765313230546244e-05,0.002171643717468474,3
3,train,13.453823473927185,0.36601930836890983,0.010000000000000002,0.010000000000092308,0.045763434797496644,0.035044263610032926,0.0,9.960927454656082e-14,3
4,test,13.55954887237701,0.3833907971073132,0.010000000000000002,0.010455917280640417,0.04897962510808974,0.010474515505724808,0.0,0.0007896718886275033,3
4,train,13.524013611379475,0.34123972759716775,0.010000000000000004,0.01000000000000193,0.03736384684605627,0.02209941118926602,3.469446951953614e-18,1.696597694613256e-15,3
5,test,13.4711660456616,0.4273458364912157,0.02015458959197848,0.01007284166272812,0.023078646632990137,0.02658608224059716,0.005326727772385348,0.00012616545701277942,3
5,train,13.481274620245154,0.39607659646135107,0.011882874748612215,0.010000000000187973,0.011506407156283194,0.0023274820358189893,0.0015417410276372518,2.396433346315931e-13,2
