,set,dec_accuracy,rate_loss,subject
0,test,0.9472,0.3497850000858307,0
1,train,0.976025,0.2755652070045471,0
0,test,0.9544,0.2605464458465576,1
1,train,0.975575,0.18504704535007477,1
0,test,0.952,0.28403136134147644,2
1,train,0.96975,0.25159189105033875,2
