set,dec_accuracy_mean,rate_loss_mean,dec_accuracy_std,rate_loss_std,dec_accuracy_n,rate_loss_n
test,0.9512,0.2981209357579549,0.0036660605559646225,0.0462576152769145,3,3
train,0.9737833333333333,0.23740138113498688,0.0035002083271333073,0.04689789255467213,3,3
