,set,dec_accuracy,rate_loss,subject
0,test,0.6355,2.9478259086608887,0
1,train,0.82875,1.4536212682724,0
0,test,0.6747,2.00191593170166,1
1,train,0.725775,1.768264889717102,1
0,test,0.6467,2.9127445220947266,2
1,train,0.831575,1.4289062023162842,2
