set,dec_accuracy_mean,rate_loss_mean,dec_accuracy_std,rate_loss_std,dec_accuracy_n,rate_loss_n
test,0.6523,2.6208287874857583,0.02019108714259831,0.5362811932297945,3,3
train,0.7953666666666667,1.5502641201019287,0.060284701279290864,0.18919820370687904,3,3
