,type,mean,var,guess_rate,lapse_rate,model,set,subject
0,1,,,,,,train,0
1,5,13.41638900617255,0.29536152709784386,0.010000000000004526,0.010000000000000002,PsychometricCurve(model='wh'),train,0
2,4,13.459204510058488,0.2805270207103913,0.010000000000000002,0.010000000000000005,PsychometricCurve(model='wh'),train,0
3,3,13.429708743356379,0.3179559010966325,0.010000000000000002,0.010000000000000002,PsychometricCurve(model='wh'),train,0
4,2,13.441285103124358,0.38453951950812293,0.010000000000000397,0.010438300266714782,PsychometricCurve(model='wh'),train,0
5,3,13.4277400713931,0.382998113131999,0.012675285597291946,0.010124143883500606,PsychometricCurve(model='wh'),test,0
6,2,13.463463850386503,0.4972840481600815,0.010686379720822646,0.014519087964542834,PsychometricCurve(model='wh'),test,0
7,1,13.40968709988622,0.47036564515991314,0.02097908979591414,0.01554552814642007,PsychometricCurve(model='wh'),test,0
8,5,13.424397769215643,0.37834896720598354,0.023455761283321084,0.010000000000045816,PsychometricCurve(model='wh'),test,0
9,4,13.451779106103956,0.35320772204398854,0.010000000000000002,0.010000000000005265,PsychometricCurve(model='wh'),test,0
10,1,13.441898137059344,0.4961090686426387,0.015869395566521394,0.01552431873258008,PsychometricCurve(model='wh'),train,1
11,5,13.437819840415042,0.4532027819895539,0.023042875249962864,0.016589139135385886,PsychometricCurve(model='wh'),train,1
12,4,13.560158204904557,0.4241138482604367,0.010000000000000002,0.012407583162136662,PsychometricCurve(model='wh'),train,1
13,3,13.496058367790312,0.500148963312879,0.010000000000000004,0.014148050005017995,PsychometricCurve(model='wh'),train,1
14,2,13.483072363782417,0.5517265538703635,0.011463042610770788,0.030378669672933838,PsychometricCurve(model='wh'),train,1
15,3,13.515284833140386,0.5175950797318073,0.01000000000000034,0.02083826420514585,PsychometricCurve(model='wh'),test,1
16,2,13.487056996174832,0.6277177301927933,0.010000000000000725,0.026179170666313763,PsychometricCurve(model='wh'),test,1
17,1,13.447198452048248,0.5399380914037533,0.01809294271814725,0.01575789342793436,PsychometricCurve(model='wh'),test,1
18,5,13.401014278926569,0.5088570450979452,0.028664919066787344,0.025356372345041976,PsychometricCurve(model='wh'),test,1
19,4,13.554271764078655,0.4486878974741147,0.010000000000000002,0.01284836104227459,PsychometricCurve(model='wh'),test,1
20,1,13.544082446752512,0.3257543199872518,0.010000000000201188,0.01650813368148955,PsychometricCurve(model='wh'),train,2
21,5,13.583358279008204,0.28882443390035006,0.010000000000000002,0.010000000000000005,PsychometricCurve(model='wh'),train,2
22,4,13.675676802102583,0.25166427117754725,0.010000000000000002,0.010000000000000002,PsychometricCurve(model='wh'),train,2
23,3,13.616134708050252,0.2888766272010317,0.010000000000001666,0.010000000000401209,PsychometricCurve(model='wh'),train,2
24,2,13.588145459858724,0.3496232694178147,0.010000000000002028,0.026389955011315084,PsychometricCurve(model='wh'),train,2
25,3,13.669472481434296,0.3695934818578429,0.010000000000000002,0.010562735400034228,PsychometricCurve(model='wh'),test,2
26,2,13.568873941026457,0.44631284948273886,0.010000000016880886,0.04243831936554894,PsychometricCurve(model='wh'),test,2
27,1,13.614878180324297,0.49306421693363434,0.010000000000000338,0.025908350249243997,PsychometricCurve(model='wh'),test,2
28,5,13.551565472437007,0.37302206674718685,0.010000000001319441,0.02932006555966913,PsychometricCurve(model='wh'),test,2
29,4,13.641456634061008,0.3504511445970771,0.010000000000000002,0.01744103948342334,PsychometricCurve(model='wh'),test,2
