set,dec_accuracy_mean,rate_loss_mean,dec_accuracy_std,rate_loss_std,dec_accuracy_n,rate_loss_n
test,0.9451999999999999,0.42641691366831463,0.0048867166891482456,0.024073448030002102,3,3
train,0.9677250000000001,0.3499312400817871,0.013622522710570207,0.053723333685247204,3,3
