type,set,mean_mean,var_mean,guess_rate_mean,lapse_rate_mean,mean_std,var_std,guess_rate_std,lapse_rate_std,n
1,test,13.490587910752922,0.5011226511657669,0.01635734417135391,0.01907059060786614,0.10926037121413125,0.03547936147668402,0.00569160170105112,0.005922625468332438,3
1,train,13.492990291905928,0.41093169431494525,0.012934697783361291,0.016016226207034814,0.07225521831490554,0.12045899798155398,0.004150289406411273,0.0006956622218065834,2
2,test,13.50646492919593,0.5237715426118712,0.010228793245901419,0.02771219266546851,0.055320183480303146,0.09355812742946208,0.0003962815117099534,0.014022606314203885,3
2,train,13.504167642255167,0.4286297809321004,0.010487680870257738,0.0224023083169879,0.07566868028067088,0.1080249867435908,0.0008446880451637071,0.010551330609605744,3
3,test,13.537499128655929,0.4233955582405497,0.010891761865764097,0.013841714496226893,0.1223876861045261,0.08185403729679705,0.001544576859755536,0.006063156892380755,3
3,train,13.513967273065647,0.3689938305368477,0.010000000000000557,0.011382683335139735,0.09449447996645632,0.11451049158351224,9.602301651900587e-16,0.0023948777868933483,3
4,test,13.549169168081207,0.38411558803839346,0.010000000000000002,0.013429800175234397,0.09494165849304145,0.05593824308290444,0.0,0.0037544401376835776,3
4,train,13.565013172355208,0.31876838004945846,0.010000000000000002,0.010802527720712224,0.10831777941509013,0.09236620232580528,0.0,0.00139001878675601,3
5,test,13.458992506859738,0.42007602635037183,0.020706893450475956,0.02155881263491897,0.08101859275099882,0.07693273642941087,0.009631303478862806,0.010204524884628283,3
5,train,13.479189041865263,0.3457962476625826,0.014347625083322465,0.012196379711795297,0.09084735901108364,0.09307419679463437,0.007530307536571459,0.003804241253542937,3
