,set,dec_accuracy,rate_loss,subject
0,test,0.9474,0.4111415445804596,0
1,train,0.974425,0.3191235661506653,0
0,test,0.9396,0.4541674852371216,1
1,train,0.95205,0.41196513175964355,1
0,test,0.9486,0.41394171118736267,2
1,train,0.9767,0.3187050223350525,2
