,agg_y_rate,type,preds_dec,set,subject,model_name,dataset_name
45,14,2,0.91193193,test,0,early_integration,easy
46,14,3,0.96605176,test,0,early_integration,easy
47,14,4,0.97196114,test,0,early_integration,easy
48,14,5,0.9679108,test,0,early_integration,easy
49,15,1,0.9955176,test,0,early_integration,easy
50,15,2,0.991722,test,0,early_integration,easy
51,15,3,0.99931633,test,0,early_integration,easy
52,15,4,0.99673796,test,0,early_integration,easy
53,15,5,0.999699,test,0,early_integration,easy
54,16,1,1.0,test,0,early_integration,easy
55,16,2,0.99997413,test,0,early_integration,easy
56,16,3,0.9999995,test,0,early_integration,easy
57,16,4,0.99999994,test,0,early_integration,easy
58,11,1,8.607264e-06,train,1,early_integration,easy
59,11,2,3.277502e-05,train,1,early_integration,easy
60,11,3,1.6097488e-07,train,1,early_integration,easy
61,11,4,2.3106966e-06,train,1,early_integration,easy
62,11,5,2.2235072e-06,train,1,early_integration,easy
63,12,1,9.90922e-05,train,1,early_integration,easy
64,12,2,0.0063762055,train,1,early_integration,easy
65,12,3,0.00052601437,train,1,early_integration,easy
66,12,4,0.00061484193,train,1,early_integration,easy
67,12,5,8.329613e-05,train,1,early_integration,easy
68,13,1,0.009838062,train,1,early_integration,easy
69,13,2,0.022961065,train,1,early_integration,easy
70,13,3,0.009144315,train,1,early_integration,easy
71,13,4,0.00706936,train,1,early_integration,easy
72,13,5,0.0070250873,train,1,early_integration,easy
73,14,1,0.97131926,train,1,early_integration,easy
74,14,2,0.96976674,train,1,early_integration,easy
75,14,3,0.9849679,train,1,early_integration,easy
76,14,4,0.9753488,train,1,early_integration,easy
77,14,5,0.97563004,train,1,early_integration,easy
78,15,1,0.99337155,train,1,early_integration,easy
79,15,2,0.9960789,train,1,early_integration,easy
80,15,3,0.99788266,train,1,early_integration,easy
81,15,4,0.9984204,train,1,early_integration,easy
82,15,5,0.9975879,train,1,early_integration,easy
83,16,1,0.9999991,train,1,early_integration,easy
84,16,2,0.9999924,train,1,early_integration,easy
85,16,3,0.9999987,train,1,early_integration,easy
86,16,4,0.9999806,train,1,early_integration,easy
87,11,1,0.0001537567,test,1,early_integration,easy
88,11,2,2.0173486e-05,test,1,early_integration,easy
89,11,3,2.0600265e-07,test,1,early_integration,easy
90,11,4,1.0514697e-06,test,1,early_integration,easy
91,11,5,3.2904492e-05,test,1,early_integration,easy
92,12,1,0.0020194163,test,1,early_integration,easy
93,12,2,0.0053344127,test,1,early_integration,easy
94,12,3,0.00484835,test,1,early_integration,easy
95,12,4,1.381953e-05,test,1,early_integration,easy
96,12,5,0.00019410644,test,1,early_integration,easy
