,type,mean,var,guess_rate,lapse_rate,model,set,subject
0,1,,,,,,train,0
1,2,13.359562773359652,1.040885382060869,0.049999999998660435,0.030736509936270733,PsychometricCurve(model='wh'),train,0
2,3,13.365791421321436,0.8308316794887903,0.024274818485358465,0.01648704892943961,PsychometricCurve(model='wh'),train,0
3,5,13.317032077363102,0.7888405288352945,0.049999999999982475,0.02080585486271217,PsychometricCurve(model='wh'),train,0
4,4,13.437082275801986,0.791429430000027,0.02581694302551049,0.022778780628977483,PsychometricCurve(model='wh'),train,0
5,4,13.53244260040968,0.9758582613039978,0.02813149741780953,0.011943579740911823,PsychometricCurve(model='wh'),test,0
6,5,13.293872182778829,1.107903582646828,0.04999999998178398,0.010000000000013066,PsychometricCurve(model='wh'),test,0
7,3,13.388215499672915,0.9825784381910532,0.02429833994454685,0.016660086697052125,PsychometricCurve(model='wh'),test,0
8,1,13.302908064337943,1.2674641811242666,0.031750145990605445,0.02707470854784009,PsychometricCurve(model='wh'),test,0
9,2,13.242316957713022,1.3899715522836178,0.029275267507354836,0.030014234828657987,PsychometricCurve(model='wh'),test,0
10,1,13.482029128726838,0.4542405976053571,0.049999999999973725,0.049999999993875194,PsychometricCurve(model='wh'),train,1
11,2,13.557163102867865,0.478185616260228,0.04223111978389248,0.04999999999973899,PsychometricCurve(model='wh'),train,1
12,3,13.54774756442408,0.5533144656963497,0.0157811708019518,0.03348846625216918,PsychometricCurve(model='wh'),train,1
13,5,13.508643830364788,0.4717279427721853,0.04177616850763227,0.04999999999999484,PsychometricCurve(model='wh'),train,1
14,4,13.602999653181387,0.5140120620683178,0.013228592789081192,0.03866037080027604,PsychometricCurve(model='wh'),train,1
15,4,13.689441982979163,0.9391115794193671,0.010329352323692467,0.046367327040793264,PsychometricCurve(model='wh'),test,1
16,5,13.537466315242318,1.2107379836458687,0.010087508284300882,0.010000000000000977,PsychometricCurve(model='wh'),test,1
17,3,13.595820740816148,0.9503252838517252,0.010000000000000146,0.04504941226520573,PsychometricCurve(model='wh'),test,1
18,1,13.534701470592058,1.7888909036658434,0.010000000000000002,0.01000000000001166,PsychometricCurve(model='wh'),test,1
19,2,13.705564609716872,1.615603309630616,0.036027936272343304,0.010000236616972266,PsychometricCurve(model='wh'),test,1
20,1,13.451075290131232,0.5839659286370791,0.04999999999909722,0.0499999999999299,PsychometricCurve(model='wh'),train,2
21,2,13.452699988544879,0.6021426257703119,0.04999999999999966,0.049999999999986514,PsychometricCurve(model='wh'),train,2
22,3,13.480864295945413,0.696036565304917,0.01966270473206486,0.025135433955107967,PsychometricCurve(model='wh'),train,2
23,5,13.400335889857663,0.6755944748662969,0.04999999999988943,0.04382939963668906,PsychometricCurve(model='wh'),train,2
24,4,13.556442397032871,0.662775801237189,0.020192870780924084,0.03242547079019813,PsychometricCurve(model='wh'),train,2
25,4,13.578519473496712,0.969996522511859,0.013591529025771655,0.02946454874086511,PsychometricCurve(model='wh'),test,2
26,5,13.356201699708713,1.1596568470968924,0.022320354844969248,0.010000000224461713,PsychometricCurve(model='wh'),test,2
27,3,13.573587050525925,1.0291772044691718,0.011906183990390777,0.010000422103310704,PsychometricCurve(model='wh'),test,2
28,1,13.48849125454181,1.6764603488386174,0.018540855371566006,0.01619553815498982,PsychometricCurve(model='wh'),test,2
29,2,13.36351787732845,1.7853569342445752,0.01000000000013399,0.02306785092293431,PsychometricCurve(model='wh'),test,2
