set,dec_accuracy_mean,rate_loss_mean,dec_accuracy_std,rate_loss_std,dec_accuracy_n,rate_loss_n
test,0.8316666666666667,0.9999805291493734,0.017464630924623983,0.16451535463207237,3,3
train,0.9060916666666667,0.6163796981175741,0.015452373064786333,0.04679715977773432,3,3
