set,dec_accuracy_mean,rate_loss_mean,dec_accuracy_std,rate_loss_std,dec_accuracy_n,rate_loss_n
test,0.8845999999999999,0.6947375337282816,0.0065482822174979406,0.12397650823902923,3,3
train,0.9426583333333333,0.4476529359817505,0.009639772213768034,0.11046985666149485,3,3
