,set,dec_accuracy,rate_loss,subject
0,test,0.8918,0.5586943626403809,0
1,train,0.952175,0.3205905556678772,0
0,test,0.879,0.7241668105125427,1
1,train,0.9329,0.5014397501945496,1
0,test,0.883,0.8013514280319214,2
1,train,0.9429,0.5209285020828247,2
