,set,dec_accuracy,rate_loss,subject
0,test,0.9827,0.14439381659030914,0
1,train,0.993675,0.10129675269126892,0
0,test,0.987,0.16056247055530548,1
1,train,0.99465,0.11639024317264557,1
0,test,0.986,0.18287712335586548,2
1,train,0.993,0.15848205983638763,2
