set,type,agg_y_rate,preds_dec_mean,preds_dec_std,preds_dec_n
test,1,11,0.0006323571,0.0009651248035002588,3
test,1,12,0.0065724035,0.005656905759298743,3
test,1,13,0.07157154,0.04013993369731138,3
test,1,14,0.9156906,0.03428080146713922,3
test,1,15,0.98887247,0.006771961362025396,3
test,1,16,0.9998908,0.00018056434306991037,3
test,2,11,7.81744e-05,8.088867171271803e-05,3
test,2,12,0.008047933,0.003047775862077492,3
test,2,13,0.08285098,0.00780313556958015,3
test,2,14,0.9351591,0.030017022454326595,3
test,2,15,0.99323034,0.003233189474791899,3
test,2,16,0.99999124,1.4832377627463985e-05,3
test,3,11,1.6847026e-06,2.7414569989486693e-06,3
test,3,12,0.0020241516,0.002514410024458254,3
test,3,13,0.045098152,0.013006105858933324,3
test,3,14,0.96774733,0.013307472917543868,3
test,3,15,0.9953603,0.00372061295860397,3
test,3,16,0.9998165,0.0003134039277406893,3
test,4,11,1.0821956e-06,1.0975952589041236e-06,3
test,4,12,6.607021e-05,7.213779890774149e-05,3
test,4,13,0.021079723,0.010010267295173623,3
test,4,14,0.96566,0.014677430113134458,3
test,4,15,0.99604917,0.00209511538343102,3
test,4,16,0.9999484,8.935273035375964e-05,3
test,5,11,1.6588565e-05,1.6453922397168655e-05,3
test,5,12,0.0011197049,0.001136647380693645,3
test,5,13,0.024841057,0.013204509898263562,3
test,5,14,0.9653935,0.012153874401421785,3
test,5,15,0.9979287,0.0032070801805728793,3
train,1,11,5.9398055e-05,9.526061649170962e-05,3
train,1,12,0.003378655,0.004155146939802501,3
train,1,13,0.029331565,0.021821673009197646,3
train,1,14,0.97166586,0.006536049303673733,3
train,1,15,0.99704415,0.003180766894752476,3
train,1,16,0.99999183,1.3324271385596236e-05,3
train,2,11,5.4986813e-05,6.816234436008583e-05,3
train,2,12,0.005429527,0.0013028130247631344,3
train,2,13,0.038021922,0.013566781819611531,3
train,2,14,0.975804,0.008812533904115112,3
train,2,15,0.9968963,0.0022191256034731596,3
train,2,16,0.9999966,3.8890984004590214e-06,3
train,3,11,7.891912e-07,1.2300282599161045e-06,3
train,3,12,0.00030771064,0.0002688458876855509,3
train,3,13,0.018286407,0.01149468992630528,3
train,3,14,0.9875354,0.0033575393120506007,3
train,3,15,0.99803436,0.00040316945367988456,3
train,3,16,0.9999995,7.060907540362508e-07,3
train,4,11,9.728853e-06,1.4894545972422712e-05,3
train,4,12,0.0002985081,0.00030195366066902246,3
train,4,13,0.014134632,0.008054551193025394,3
train,4,14,0.9815573,0.005512320630017266,3
train,4,15,0.99885404,0.0004408557627721708,3
train,4,16,0.9999935,1.1149892813936191e-05,3
train,5,11,7.6078677e-06,1.1306329328473053e-05,3
train,5,12,0.00053870864,0.0007676395922147433,3
train,5,13,0.015262752,0.009675654207059318,3
train,5,14,0.9816765,0.006815470458742197,3
train,5,15,0.99910945,0.001317880986207198,3
