set,dec_accuracy_mean,rate_loss_mean,dec_accuracy_std,rate_loss_std,dec_accuracy_n,rate_loss_n
test,0.9852333333333334,0.1626111368338267,0.002250185177565011,0.019323276120874047,3,3
train,0.993775,0.12538968523343405,0.0008295330011518978,0.029635828086532486,3,3
