set,dec_accuracy_mean,rate_loss_mean,dec_accuracy_std,rate_loss_std,dec_accuracy_n,rate_loss_n
test,0.9460333333333333,0.2916206618150075,0.0031085902485424774,0.010572913585050407,3,3
train,0.9753249999999999,0.19623660544554392,0.002122351290432357,0.013569511694610325,3,3
