,set,dec_accuracy,rate_loss,subject
0,test,0.9439,0.29582762718200684,0
1,train,0.97405,0.20425966382026672,0
0,test,0.9496,0.279591828584671,1
1,train,0.97415,0.20388074219226837,1
0,test,0.9446,0.2994425296783447,2
1,train,0.977775,0.18056941032409668,2
