,set,dec_accuracy,rate_loss,subject
0,test,0.703,2.009779930114746,0
1,train,0.79085,1.3320817947387695,0
0,test,0.6399,3.1466808319091797,1
1,train,0.85585,1.3189036846160889,1
0,test,0.6723,2.634108066558838,2
1,train,0.83395,1.3980381488800049,2
