,type,mean,var,guess_rate,lapse_rate,model,set,subject
0,4,,,,,,train,0
1,2,13.52677459331337,1.8099745812584638,0.04999999999982819,0.04999999995517862,PsychometricCurve(model='wh'),train,0
2,1,13.464913038921326,1.6925912914769978,0.0499999999999064,0.04999999999956242,PsychometricCurve(model='wh'),train,0
3,3,13.483762635585904,1.9631774642886233,0.04539933208670883,0.04999999999953499,PsychometricCurve(model='wh'),train,0
4,5,13.529386060133312,2.1194665075833137,0.049999999999999684,0.010000000057251941,PsychometricCurve(model='wh'),train,0
5,5,13.637556383055495,2.916738907201124,0.04999999996918669,0.010000000762527368,PsychometricCurve(model='wh'),test,0
6,2,13.415938419899483,3.4423523618923944,0.010000000113418837,0.04999999999975389,PsychometricCurve(model='wh'),test,0
7,1,13.790898931206755,3.7087010468472688,0.04999999999461834,0.010000000939158002,PsychometricCurve(model='wh'),test,0
8,4,13.91940793997064,2.7501188255606945,0.049999999999341606,0.026030702895212945,PsychometricCurve(model='wh'),test,0
9,3,13.79087886282192,2.579634821121044,0.04999999999999891,0.01000000002279883,PsychometricCurve(model='wh'),test,0
10,4,13.569513970176507,0.5381520716142161,0.049999999999999996,0.049999999999999996,PsychometricCurve(model='wh'),train,1
11,2,13.578662696833637,0.5011992391313985,0.049999999999999996,0.049999999999999996,PsychometricCurve(model='wh'),train,1
12,1,13.573686175062477,0.5363061011196134,0.049999999999999996,0.049999999999999996,PsychometricCurve(model='wh'),train,1
13,3,13.55344338337305,0.5010442857602567,0.049999999999999996,0.049999999999999996,PsychometricCurve(model='wh'),train,1
14,5,13.54197962288343,0.5112447398498913,0.04999999999996025,0.04999999999993851,PsychometricCurve(model='wh'),train,1
15,5,14.00498055031069,3.6074696633668184,0.03523978390421012,0.04999999993849263,PsychometricCurve(model='wh'),test,1
16,2,14.093953529989044,4.121387940410733,0.01000005717832052,0.04999998784583367,PsychometricCurve(model='wh'),test,1
17,1,14.789463644446837,5.095252246910484,0.04999999999849013,0.010000018762018836,PsychometricCurve(model='wh'),test,1
18,4,14.3510315525812,4.0963495451444905,0.010000000000005815,0.049999999999975536,PsychometricCurve(model='wh'),test,1
19,3,13.876680528875335,3.198683425033793,0.010000000049371191,0.04999999999920609,PsychometricCurve(model='wh'),test,1
20,4,13.847132163708654,1.1976144401290179,0.04928842415301029,0.04999999999999989,PsychometricCurve(model='wh'),train,2
21,2,13.63625349126651,1.34702706961905,0.049999999999999996,0.04999999999999989,PsychometricCurve(model='wh'),train,2
22,1,14.036407700097874,1.225958284349561,0.04523520793307969,0.04999999999999997,PsychometricCurve(model='wh'),train,2
23,3,13.731137475524106,1.112931979515101,0.04999999999989319,0.04999999999786987,PsychometricCurve(model='wh'),train,2
24,5,13.685200753699593,0.9892134831711128,0.0499999999999997,0.04999999999999957,PsychometricCurve(model='wh'),train,2
25,5,13.80466037724267,2.551447907684741,0.01912349845658079,0.049999999834229245,PsychometricCurve(model='wh'),test,2
26,2,13.68448833606395,4.375385871398446,0.010000000001054301,0.04999999999999996,PsychometricCurve(model='wh'),test,2
27,1,15.190400976500527,4.299301395771008,0.010000000010038595,0.04999999999688223,PsychometricCurve(model='wh'),test,2
28,4,14.263684749008656,2.8993202658340333,0.02114556419950949,0.049999997783204804,PsychometricCurve(model='wh'),test,2
29,3,14.058310576437487,2.6066479083401197,0.02986638939587047,0.04999999999996084,PsychometricCurve(model='wh'),test,2
