,set,dec_accuracy,rate_loss,subject
0,test,0.893,0.7379398345947266,0
1,train,0.9377,0.5097336769104004,0
0,test,0.8911,0.7749159932136536,1
1,train,0.956,0.3498053252696991,1
0,test,0.8988,0.7203186750411987,2
1,train,0.960075,0.46309757232666016,2
