set,dec_accuracy_mean,rate_loss_mean,dec_accuracy_std,rate_loss_std,dec_accuracy_n,rate_loss_n
test,0.8943,0.7443915009498596,0.004011234224026352,0.027864579432938397,3,3
train,0.9512583333333332,0.44087885816891986,0.011917328070223356,0.08224671944062863,3,3
