,type,mean,var,guess_rate,lapse_rate,model,set,subject
0,1,,,,,,train,0
1,2,13.607895269467823,0.4937862634187941,0.023662885107315783,0.049999999999999996,PsychometricCurve(model='wh'),train,0
2,3,13.592113900063126,0.518773822435366,0.010000000000000057,0.03036991503620564,PsychometricCurve(model='wh'),train,0
3,5,13.570089752959333,0.43204891200504686,0.017740170275894362,0.04999999999969209,PsychometricCurve(model='wh'),train,0
4,4,13.6179209558751,0.43889568194562767,0.010000000000023037,0.03703047176471486,PsychometricCurve(model='wh'),train,0
5,4,13.624166984789378,0.49070086980978084,0.017797965444321964,0.049999999999999975,PsychometricCurve(model='wh'),test,0
6,5,13.609797152619102,0.5298698447650816,0.02963099614850375,0.04999999997548383,PsychometricCurve(model='wh'),test,0
7,3,13.632817903660177,0.7986630831807898,0.010000000000001053,0.025485382540808555,PsychometricCurve(model='wh'),test,0
8,1,13.734054030396933,0.939202325453544,0.019637624009210243,0.04999999999903879,PsychometricCurve(model='wh'),test,0
9,2,13.705209901830289,0.9399127209470608,0.04260285865718335,0.049999999974141285,PsychometricCurve(model='wh'),test,0
10,1,13.510843300670903,0.3632021391265709,0.016981991405808926,0.03053622942777887,PsychometricCurve(model='wh'),train,1
11,2,13.514359635118566,0.3871732634370674,0.030821938266655007,0.035167223372462475,PsychometricCurve(model='wh'),train,1
12,3,13.52328925676554,0.3573129913667916,0.010096392277177443,0.017110684350697507,PsychometricCurve(model='wh'),train,1
13,5,13.502315941286533,0.3094052104883426,0.017644248184963775,0.02848611765336564,PsychometricCurve(model='wh'),train,1
14,4,13.52902844764522,0.32827819264329183,0.010000000000000005,0.014276236271981433,PsychometricCurve(model='wh'),train,1
15,4,13.550271935432878,0.5322735100534031,0.02739752410093825,0.040501818367537155,PsychometricCurve(model='wh'),test,1
16,5,13.500973782489343,0.45838278557506223,0.047551513363766645,0.048845491308658597,PsychometricCurve(model='wh'),test,1
17,3,13.512207284783393,0.6396291481440277,0.014115429586427898,0.038260008205474566,PsychometricCurve(model='wh'),test,1
18,1,13.658606352663403,0.863783002566244,0.031702893286689786,0.049999999999998816,PsychometricCurve(model='wh'),test,1
19,2,13.544983350660672,0.741902599334483,0.049999999999999996,0.049999999999999996,PsychometricCurve(model='wh'),test,1
20,1,13.564694382432911,0.4137102767207755,0.014441048268379653,0.02780137242618002,PsychometricCurve(model='wh'),train,2
21,2,13.561959553236239,0.43453049228830104,0.015006803783045454,0.037469106191186326,PsychometricCurve(model='wh'),train,2
22,3,13.552769519979908,0.3573053070925527,0.010000000000000002,0.010000000000622275,PsychometricCurve(model='wh'),train,2
23,5,13.53775534801614,0.34113103906422687,0.013121127174269744,0.022160391078037807,PsychometricCurve(model='wh'),train,2
24,4,13.586126049545127,0.32592934483186864,0.010000000000000002,0.01874608018239147,PsychometricCurve(model='wh'),train,2
25,4,13.563515375101757,0.4634724034115679,0.012905888963534137,0.02824882490662687,PsychometricCurve(model='wh'),test,2
26,5,13.570458028840285,0.4872645889760374,0.02715177842949072,0.038615826811491144,PsychometricCurve(model='wh'),test,2
27,3,13.51991141234322,0.5979731048637101,0.010858210402559541,0.015985962360595966,PsychometricCurve(model='wh'),test,2
28,1,13.690574545957007,1.0495469979799537,0.016997547746761498,0.022511803828595568,PsychometricCurve(model='wh'),test,2
29,2,13.569768809637733,0.9862308337510859,0.02142937055381652,0.04075502797613807,PsychometricCurve(model='wh'),test,2
