,set,dec_accuracy,rate_loss,subject
0,test,0.6359,3.421630859375,0
1,train,0.848675,1.5177329778671265,0
0,test,0.6511,2.8162336349487305,1
1,train,0.8281,1.4616719484329224,1
0,test,0.6216,3.3036715984344482,2
1,train,0.850325,1.3975945711135864,2
