type,set,mean_mean,var_mean,guess_rate_mean,lapse_rate_mean,mean_std,var_std,guess_rate_std,lapse_rate_std,n
1,test,14.779092661488102,5.346759205969058,0.03666672206223313,0.035149013740055815,0.16119986481255294,1.1757921008448606,0.02309391478207722,0.021898325150088924,3
1,train,13.65574238209679,0.8508989605623328,0.049999999999999996,0.049999999999999996,0.10046321123613584,0.5201649709382112,0.0,0.0,3
2,test,15.197168738813366,5.4533573139156095,0.02333333526643012,0.036666987445285466,0.5205840426660056,1.0026881893695438,0.02309400909273378,0.023093455160810485,3
2,train,13.805693445149169,0.9423866157314649,0.049999819513461434,0.049999999999999996,0.18632177630314742,0.4160682129576054,3.126118548713489e-07,0.0,3
3,test,14.522498140780476,3.5546346716847963,0.03042800035793224,0.04999999998214208,0.2321398799452484,0.3838408456394108,0.020013733509933698,2.9063482872540765e-11,3
3,train,13.714219755507736,0.8107105066126347,0.046997723832983396,0.0499999999999963,0.14680941665378452,0.4900991691559279,0.005200094859625897,6.402364028700522e-15,3
4,test,14.394342229690645,3.6227074123221463,0.016610724556170835,0.049999999999638924,0.21752901045896714,0.15814753662887043,0.011450110774971779,6.249869447757021e-13,3
4,train,13.760865821437196,0.9561456361397308,0.04999999999853973,0.04999999999997927,0.2249250705795286,0.5820582319218258,2.0651229847510358e-12,2.931166358805273e-14,2
5,test,14.189240606031875,4.103835095639888,0.010951936290930761,0.04999987987797321,0.25502747506449475,0.18880618751730113,0.001648783241618423,2.000802360026822e-07,3
5,train,13.6627078039026,0.7051078467735096,0.049999999989249706,0.049999999999626975,0.09721875515856981,0.29939910494928046,1.8619982591976018e-11,6.451370272931425e-13,3
