set,dec_accuracy_mean,rate_loss_mean,dec_accuracy_std,rate_loss_std,dec_accuracy_n,rate_loss_n
test,0.8880666666666667,0.5187239249547323,0.004891148467725482,0.03463571819775297,3,3
train,0.9259083333333334,0.40595078468322754,0.014406277566857178,0.0267632146473122,3,3
