,set,dec_accuracy,rate_loss,subject
0,test,0.8856,0.5334703922271729,0
1,train,0.934025,0.38872507214546204,0
0,test,0.8937,0.47915536165237427,1
1,train,0.909275,0.4367835819721222,1
0,test,0.8849,0.5435460209846497,2
1,train,0.934425,0.3923436999320984,2
